transaction_id,timestamp,sender_upi_id,receiver_upi_id,sender_account_id,receiver_account_id,amount,transaction_type,device_id,ip_address,location,sender_bank,receiver_bank,hour_of_day,day_of_week,is_new_device,is_new_receiver,transaction_status,label_is_fraud,fraud_type,sender_prior_txn_count,sender_avg_amount_prior,sender_std_amount_prior,amount_zscore_vs_sender,amount_ratio_vs_sender_avg,seconds_since_last_txn,sender_txn_count_last_1h,sender_txn_count_last_24h,device_seen_count_prior,is_new_device_derived,location_seen_count_prior,is_new_location_derived,receiver_seen_count_prior,is_new_receiver_derived,sender_typical_hour_prior,hour_deviation_from_typical,triggered_rules,triggered_rule_count,any_rule_triggered
b83f7596-40cf-4cef-b6ab-9bf2bc51d11c,2026-05-30 00:16:57,user705676@okicici,shop181911@okaxis,ACC100705,RCV380206,585.24,P2P,dev_ri09m0g8w8,201.35.149.12,Nagpur,ICICI Bank,Bank of Baroda,0,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
0e0fdb72-4b79-4fe3-a82f-21b63456a25b,2026-05-30 00:25:05,user580862@paytm,store749460@okaxis,ACC100580,RCV799743,1111.9,COLLECT,dev_edznz9c65f,174.197.21.82,Mumbai,ICICI Bank,IDFC First Bank,0,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
e617569b-bbd9-450d-badd-b305da802009,2026-05-30 00:27:41,user251275@ybl,merchant151341@ybl,ACC100251,RCV249825,2178.44,P2M,dev_nmeoq4yrp5,34.106.154.182,Bengaluru,Indian Bank,Bank of Baroda,0,5,False,True,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
54df79e4-506e-4fdc-bd25-2e3310fbb446,2026-05-30 00:49:49,user76663@okaxis,merchant684332@okicici,ACC100766,RCV655603,634.72,P2P,dev_jlopo6j0m3,112.10.89.72,Surat,IDFC First Bank,Axis Bank,0,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
9efd81b1-6913-47e7-a3bf-4778771593a8,2026-05-30 01:25:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,4061.25,COLLECT,dev_9gmykvygw2,115.239.52.113,Nagpur,Axis Bank,Bank of Baroda,1,5,False,True,SUCCESS,True,mule_account,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
02655dd2-9fa5-4ecd-a66a-a263d7c5cec1,2026-05-30 01:29:33,user1041416@oksbi,store513613@okicici,ACC101041,RCV680714,368.44,P2P,dev_jvu2cgxu5w,175.160.53.143,Kolkata,IDFC First Bank,SBI,1,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
8f79b262-e0ed-44cf-89d5-df2f040a7531,2026-05-30 01:35:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,3187.55,P2P,dev_9gmykvygw2,204.151.91.179,Nagpur,Axis Bank,Canara Bank,1,5,False,True,SUCCESS,True,mule_account,1,4061.25,,,0.7848691905201601,600.0,1.0,1.0,1,False,1,False,1,False,1.0,0.0,ODD_HOUR,1,True
0638b220-25e0-42b9-a526-daa5d0f81852,2026-05-30 01:48:44,user12881@okhdfcbank,shop10379@okaxis,ACC100012,RCV694836,1040.06,P2M,dev_skrt05uiro,168.1.108.124,Bengaluru,Punjab National Bank,Union Bank of India,1,5,False,False,PENDING,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
8ac97dbf-a024-4038-adc6-36dab445139c,2026-05-30 01:53:34,user983580@okicici,person795570@oksbi,ACC100983,RCV897874,3637.03,COLLECT,dev_9gmykvygw2,177.150.107.132,Nagpur,Axis Bank,IDFC First Bank,1,5,False,True,SUCCESS,True,mule_account,2,3624.4,617.7991947226865,0.0204435358736091,1.0034847147114003,1080.0,2.0,2.0,2,False,2,False,2,False,1.0,0.0,ODD_HOUR,1,True
a66c583f-cbf5-43ad-aa32-d1cda4231eaa,2026-05-30 02:32:41,user242463@okhdfcbank,merchant666921@paytm,ACC100242,RCV291920,1277.08,COLLECT,dev_1g1r1dwwo8,205.226.27.114,Pune,Kotak Mahindra Bank,Indian Bank,2,5,False,False,FAILED,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
7405a8cc-6a73-41b2-8f33-ac0b2bf39bd2,2026-05-30 02:33:25,user505445@okicici,biz763169@oksbi,ACC100505,RCV487364,587.91,P2M,dev_1xx6cwzxsk,166.147.206.6,Indore,SBI,Punjab National Bank,2,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
08aeca90-f3e9-45e6-8eb3-4e0b7ed0c3cb,2026-05-30 03:10:49,user1126342@paytm,store44039@okicici,ACC101126,RCV659348,912.54,P2P,dev_jb4hllqlld,147.253.61.105,Ahmedabad,Yes Bank,Axis Bank,3,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
b6ef0d5a-e6dd-4ec0-9e2a-082ca8dd2d83,2026-05-30 03:39:37,user689803@paytm,store141791@paytm,ACC100689,RCV226019,454.65,P2P,dev_6k4o67bxcd,64.78.218.238,Mumbai,Yes Bank,ICICI Bank,3,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
ee116ef3-dad5-49c8-93b1-3411a1738b42,2026-05-30 03:46:18,user873618@paytm,shop380608@okhdfcbank,ACC100873,RCV394873,571.86,P2P,dev_i4rzpcd140,221.36.8.27,Nagpur,Yes Bank,Yes Bank,3,5,False,False,FAILED,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
04456bc9-f8e5-4ae9-824e-c753876a974d,2026-05-30 04:01:35,user92188@oksbi,merchant678842@paytm,ACC100921,RCV390239,320.53,P2P,dev_gwy7d78hwk,45.23.163.181,Bengaluru,Punjab National Bank,HDFC Bank,4,5,False,False,SUCCESS,False,,0,,,,,,0.0,0.0,0,True,0,True,0,True,,,"NEW_DEVICE_AND_LOCATION,ODD_HOUR",2,True
